iter	RMSE
0	211.5722162
1	206.4906703
2	201.4337269
3	196.7072723
4	192.3220935
5	188.087686
6	184.3829982
7	180.8422085
8	177.5800351
9	174.4858266
10	171.5048357
11	168.753092
12	166.1975875
13	163.88618
14	161.9445524
15	160.2154965
16	158.0251086
17	156.2589881
18	154.3602701
19	152.8543897
20	151.1005948
21	149.5930747
22	148.1221162
23	146.7107994
24	145.3720033
25	144.2793626
26	143.1360355
27	142.1793553
28	141.2326778
29	140.4085172
30	139.2980045
31	138.3341637
32	137.5259002
33	136.7003002
34	136.0363663
35	135.2293729
36	134.5129261
37	133.6922683
38	132.8207853
39	132.0890077
40	131.3917544
41	130.7754327
42	130.3259365
43	129.8844756
44	129.3370609
45	128.7206636
46	128.2918886
47	127.7640623
48	127.1627471
49	126.7654235
50	126.2995391
51	125.7677216
52	125.3041633
53	124.9064945
54	124.5424313
55	124.1553163
56	123.687837
57	123.1963282
58	122.8083928
59	122.435342
60	122.1349991
61	121.7775139
62	121.448405
63	121.166319
64	120.791198
65	120.4409358
66	120.1925833
67	119.8815719
68	119.5785463
69	119.312443
70	118.9973555
71	118.6528317
72	118.4381224
73	118.1898202
74	117.9772517
75	117.716438
76	117.4179395
77	117.2382662
78	117.0134755
79	116.7095778
80	116.5082441
81	116.2981758
82	116.0781091
83	115.8480451
84	115.6823355
85	115.401705
86	115.2004597
87	114.9381481
88	114.6867833
89	114.5076253
90	114.308324
91	114.0734005
92	113.9387123
93	113.7388279
94	113.5245101
95	113.3078368
96	113.1812447
97	113.0122973
98	112.8109806
99	112.6198098
100	112.4078727
101	112.2226432
102	112.0698352
103	111.955907
104	111.7861502
105	111.6541962
106	111.4926147
107	111.3767966
108	111.2104205
109	111.0612037
110	110.9365245
111	110.7907373
112	110.6403063
113	110.4858596
114	110.4066822
115	110.2440757
116	110.1252404
117	109.9657004
118	109.8051535
119	109.5772568
120	109.4377354
121	109.2556785
122	109.1339021
123	108.9596586
124	108.8068131
125	108.6186416
126	108.4974321
127	108.3187861
128	108.1423549
129	108.0007124
130	107.8480266
131	107.6978561
132	107.5877557
133	107.4787047
134	107.3574911
135	107.2368668
136	107.085922
137	107.0139864
138	106.9169266
139	106.7682442
140	106.6703316
141	106.53914
142	106.4259974
143	106.2924698
144	106.1915362
145	106.0849277
146	105.9767327
147	105.8613406
148	105.7540237
149	105.6299458
150	105.5214241
151	105.4371327
152	105.3053994
153	105.1752071
154	105.0028847
155	104.8943336
156	104.771036
157	104.6648424
158	104.5340712
159	104.4218681
160	104.3255794
161	104.2183608
162	104.128439
163	104.0245984
164	103.9108987
165	103.7637867
166	103.657575
167	103.5496442
168	103.4201147
169	103.3221323
170	103.2058956
171	103.0800356
172	102.924136
173	102.8347452
174	102.7368361
175	102.6213242
176	102.4934645
177	102.3689167
178	102.2379555
179	102.1317172
180	102.0321662
181	101.9329952
182	101.8372541
183	101.7440108
184	101.6340668
185	101.5055982
186	101.4256909
187	101.312016
188	101.2110953
189	101.1207527
190	101.0128664
191	100.9171723
192	100.8040823
193	100.7268384
194	100.6557569
195	100.5609837
196	100.4600663
197	100.37962
198	100.3016257
199	100.2260338
200	100.1213156
201	99.9963339
202	99.88639178
203	99.80060108
204	99.7004681
205	99.60600833
206	99.52285389
207	99.42242385
208	99.31878782
209	99.2266331
210	99.14498764
211	99.07015092
212	98.98523918
213	98.89767104
214	98.83187792
215	98.73676746
216	98.65362335
217	98.58512013
218	98.4944327
219	98.42281082
220	98.32679625
221	98.23539026
222	98.12789414
223	98.0395157
224	97.96828743
225	97.89143416
226	97.85084959
227	97.76021964
228	97.69607654
229	97.62359848
230	97.56788564
231	97.51357202
232	97.43260106
233	97.34879321
234	97.26085621
235	97.19227308
236	97.10777457
237	97.027813
238	96.94325865
239	96.87019899
240	96.79371963
241	96.73814686
242	96.67440869
243	96.59748496
244	96.52554246
245	96.44854232
246	96.34377765
247	96.24662931
248	96.17678776
249	96.09931935
250	96.04558505
251	95.97203371
252	95.93593432
253	95.78736338
254	95.73214015
255	95.65269675
256	95.57855876
257	95.51745735
258	95.4393923
259	95.36803339
260	95.28494556
261	95.2170904
262	95.16553203
263	95.07610643
264	94.99967622
265	94.94251652
266	94.88074253
267	94.80979467
268	94.76159922
269	94.72234713
270	94.65587968
271	94.5952756
272	94.53216532
273	94.47903279
274	94.40487397
275	94.3368311
276	94.26763536
277	94.18836647
278	94.1122439
279	94.06877086
280	94.00549703
281	93.9346119
282	93.86784372
283	93.7973796
284	93.74894687
285	93.686962
