iter	Passed	Remaining
0	134	134253
1	137	68729
2	140	46721
3	144	36005
4	147	29292
5	149	24754
6	151	21486
7	153	19010
8	155	17079
9	156	15532
10	158	14247
11	160	13197
12	161	12293
13	163	11510
14	164	10825
15	166	10228
16	167	9711
17	169	9247
18	171	8835
19	172	8461
20	174	8134
21	176	7842
22	178	7563
23	179	7318
24	181	7088
25	183	6878
26	186	6706
27	189	6581
28	191	6427
29	193	6265
30	195	6108
31	196	5958
32	198	5817
33	200	5684
34	201	5566
35	203	5450
36	205	5338
37	207	5260
38	209	5174
39	211	5077
40	213	4993
41	215	4908
42	216	4824
43	218	4743
44	220	4669
45	221	4598
46	223	4536
47	225	4476
48	227	4419
49	229	4365
50	231	4306
51	233	4250
52	235	4200
53	236	4149
54	238	4101
55	240	4056
56	242	4014
57	244	3970
58	246	3926
59	247	3885
60	249	3846
61	251	3806
62	253	3768
63	255	3732
64	256	3695
65	259	3667
66	260	3634
67	262	3601
68	264	3570
69	266	3537
70	268	3508
71	269	3479
72	271	3452
73	273	3425
74	275	3399
75	277	3374
76	279	3348
77	281	3324
78	283	3301
79	284	3276
80	287	3260
81	290	3251
82	293	3244
83	296	3234
84	299	3226
85	302	3219
86	305	3206
87	308	3193
88	310	3181
89	313	3174
90	317	3169
91	320	3164
92	323	3151
93	325	3139
94	328	3131
95	331	3122
96	334	3114
97	337	3104
98	340	3095
99	342	3086
100	345	3077
101	348	3067
102	351	3060
103	354	3052
104	356	3039
105	358	3027
106	361	3012
107	363	2999
108	365	2987
109	367	2971
110	368	2954
111	370	2939
112	372	2924
113	374	2908
114	376	2895
115	377	2880
116	379	2865
117	381	2852
118	383	2837
119	385	2824
120	387	2811
121	388	2798
122	390	2785
123	392	2772
124	394	2759
125	396	2748
126	398	2740
127	401	2733
128	403	2723
129	405	2710
130	406	2699
131	408	2686
132	410	2675
133	412	2663
134	414	2654
135	416	2644
136	418	2633
137	419	2622
138	421	2610
139	423	2600
140	425	2589
141	426	2578
142	428	2568
143	430	2559
144	432	2548
145	433	2537
146	435	2528
147	437	2517
148	439	2507
149	440	2497
150	442	2487
151	444	2478
152	446	2470
153	448	2461
154	449	2452
155	451	2442
156	453	2432
157	454	2422
158	456	2413
159	458	2404
160	459	2396
161	461	2388
162	463	2381
163	465	2372
164	467	2364
165	468	2355
166	470	2346
167	472	2339
168	474	2332
169	476	2324
170	478	2318
171	479	2310
172	481	2302
173	483	2294
174	484	2286
175	486	2278
176	488	2273
177	490	2265
178	492	2257
179	494	2250
180	496	2245
181	497	2238
182	499	2230
183	501	2224
184	503	2217
185	505	2210
186	506	2203
187	508	2196
188	510	2191
189	512	2185
190	514	2178
191	516	2172
192	517	2165
193	519	2159
194	521	2153
195	523	2146
196	525	2140
197	527	2134
198	528	2128
199	530	2122
200	532	2116
201	534	2109
202	535	2103
203	537	2096
204	538	2089
205	540	2083
206	542	2079
207	544	2073
208	546	2066
209	547	2060
210	549	2054
211	551	2048
212	553	2043
213	554	2037
214	556	2031
215	558	2026
216	560	2021
217	561	2015
218	563	2011
219	565	2005
220	567	2000
221	569	1995
222	571	1989
223	572	1984
224	575	1981
225	577	1976
226	578	1970
227	580	1965
228	582	1960
229	584	1955
230	585	1950
231	587	1945
232	589	1941
233	591	1937
234	593	1933
235	595	1928
236	597	1923
237	599	1918
238	600	1912
239	602	1907
240	604	1902
241	606	1898
242	608	1894
243	609	1889
244	611	1884
245	613	1879
246	614	1874
247	616	1870
248	618	1865
249	620	1860
250	622	1857
251	624	1852
252	626	1849
253	628	1845
254	630	1843
255	632	1839
256	635	1835
257	637	1832
258	639	1830
259	641	1827
260	644	1824
261	646	1820
262	648	1817
263	651	1815
264	653	1812
265	655	1810
266	658	1807
267	660	1804
268	662	1801
269	665	1798
270	667	1795
271	669	1793
272	672	1791
273	674	1788
274	677	1786
275	679	1783
276	682	1780
277	685	1780
278	689	1782
279	692	1780
280	694	1777
281	697	1775
282	701	1776
283	705	1777
284	708	1776
285	712	1779
286	726	1803
287	731	1807
288	743	1829
289	752	1841
290	761	1855
291	768	1862
292	774	1867
293	777	1866
294	782	1869
295	788	1876
296	792	1876
297	796	1875
298	800	1876
299	803	1875
300	808	1876
301	816	1887
302	821	1889
303	824	1887
304	827	1885
305	830	1884
306	834	1883
307	837	1881
308	840	1879
309	842	1876
310	846	1876
311	849	1873
312	851	1869
313	854	1866
314	856	1861
315	858	1858
316	860	1854
317	862	1850
318	864	1846
319	866	1841
320	868	1837
321	870	1832
322	871	1827
323	873	1822
324	875	1818
325	877	1813
326	879	1809
327	881	1806
328	883	1802
329	886	1799
330	888	1795
331	890	1792
332	894	1791
333	897	1788
334	899	1785
335	901	1782
336	904	1780
337	907	1777
338	910	1774
339	912	1771
340	914	1767
341	917	1764
342	919	1760
343	921	1757
344	924	1755
345	927	1752
346	929	1749
347	931	1746
348	934	1742
349	936	1739
350	939	1737
351	942	1734
352	944	1730
353	946	1726
354	948	1722
355	949	1718
356	951	1714
357	953	1710
358	955	1706
359	957	1702
360	960	1699
361	962	1696
362	964	1693
363	966	1689
364	969	1686
365	971	1683
366	974	1680
367	976	1676
368	978	1673
369	980	1670
370	983	1666
371	985	1663
372	987	1660
373	990	1657
374	992	1654
375	994	1650
376	997	1647
377	999	1644
378	1002	1641
379	1004	1639
380	1007	1636
381	1009	1632
382	1011	1629
383	1013	1626
384	1016	1623
385	1018	1620
386	1021	1617
387	1023	1614
388	1026	1611
389	1028	1608
390	1030	1604
391	1032	1600
392	1034	1597
393	1036	1594
394	1038	1590
395	1040	1587
396	1042	1583
397	1044	1579
398	1045	1575
399	1047	1571
400	1049	1567
401	1051	1563
402	1052	1559
403	1054	1556
404	1056	1552
405	1058	1548
406	1060	1544
407	1062	1541
408	1064	1537
409	1066	1534
